risk_id,risk_name_ko,account_cycle,risk_description_ko,misstatement_hypothesis_ko,primary_assertions,secondary_assertions,risk_tags,fraud_risk_indicator,information_required,applicable_business_context,limitations,source_reference,source_level,review_status
RISK001,결산일 직전 매출 집중,revenue,기말 직전 매출이 집중됨,차기 매출이 당기에 조기 인식되었을 가능성,cutoff|occurrence,accuracy,year_end_concentration,true,cutoff_evidence|customer_acceptance|post_period_returns,B2B 제품·상품 매출,시점 정보가 없으면 결론 불가,,educational_inference,ai_generated_unreviewed
RISK002,전년 대비 매출 급증,revenue,매출 증가율이 비정상적으로 큼,발생하지 않은 매출 또는 조건 미충족 매출이 포함되었을 가능성,occurrence|accuracy,cutoff,rapid_growth,true,contract_terms|cash_collection|manual_journal,B2B 제품·상품 매출,성장 원인 분석 필요,,educational_inference,ai_generated_unreviewed
RISK003,특정 거래처 매출 집중,revenue,소수 거래처 비중이 큼,특정 거래의 조건이나 실재성에 오류가 있을 가능성,occurrence|accuracy,presentation,customer_concentration,false,contract_terms|cash_collection,B2B 제품·상품 매출,집중 자체가 왜곡은 아님,,educational_inference,ai_generated_unreviewed
RISK004,신규 거래처 대규모 매출,revenue,신규 거래처와 큰 거래 발생,거래 실재성 또는 조건 충족 여부가 불확실할 가능성,occurrence|cutoff,accuracy,new_customer,true,contract_terms|cash_collection|cutoff_evidence,B2B 제품·상품 매출,신규 거래처 신용정보 필요,,educational_inference,ai_generated_unreviewed
RISK005,고객 검수조건 존재,revenue,검수 완료가 수익인식 조건일 수 있음,검수 전 수익을 인식했을 가능성,cutoff|occurrence,accuracy,customer_acceptance_clause,false,customer_acceptance|cutoff_evidence|contract_terms,B2B 제품·상품 매출,계약 조건 해석 필요,,educational_inference,ai_generated_unreviewed
RISK006,반품권 또는 취소권 존재,revenue,반품·취소 조건 존재,매출과 환불부채 또는 변동대가 추정이 부적절할 가능성,accuracy|valuation,presentation,unusual_contract_terms|post_period_return,false,contract_terms|post_period_returns,일반 제품 매출,복잡한 수익모형은 제외,,educational_inference,ai_generated_unreviewed
RISK007,수기 매출전표 증가,revenue,수기 또는 비경상 분개 증가,승인되지 않은 매출 조정이 포함되었을 가능성,occurrence|accuracy,classification,manual_entry,true,manual_journal|contract_terms,B2B 제품·상품 매출,분개 사유 확인 필요,,educational_inference,ai_generated_unreviewed
RISK008,장기 미회수 매출채권 증가,accounts_receivable,오래 미회수된 채권 증가,매출채권 평가충당금이 과소계상되었을 가능성,valuation,existence,overdue_receivable|collection_slowdown,false,cash_collection,B2B 매출채권,회수 가능성 판단 필요,,educational_inference,ai_generated_unreviewed
RISK009,특수관계자 거래,revenue,특수관계자 매출 또는 채권 존재,거래 조건 표시 또는 실재성 검토가 부족할 가능성,presentation|occurrence,accuracy|rights_and_obligations,related_party,true,related_party|contract_terms,B2B 제품·상품 매출,공시 요구사항 별도 검토 필요,,educational_inference,ai_generated_unreviewed
RISK010,비정상 매출총이익률 변동,revenue,마진이 과거 추세와 다름,매출 또는 원가의 기간귀속·정확성 오류 가능성,accuracy|cutoff,classification,unusual_margin,false,contract_terms|cutoff_evidence,B2B 제품·상품 매출,가격·원가 변동 원인 필요,,educational_inference,ai_generated_unreviewed
